Sun 5.885746899999999e+26 -0.001099249000340732 -0.002490426905397432 -4.602812255072721e-05 6.19258591546536e-06 -1.035283090083235e-06 -1.334928052827571e-07
Mercury 9.770618e+19 0.3578368138054228 -0.1048872456174371 -0.04134564891852826 0.002260756366975422 0.02831843998028053 0.002106877958782976
Venus 1.4405891499999997e+21 0.102121681028916 -0.722358454313105 -0.01586708896464779 0.01989219325368239 0.00279792739526279 -0.001109465385224468
Earth 1.7675882399999997e+21 -0.6486024167167396 0.740059247177624 -6.577620681189416e-05 -0.01324024198325885 -0.01136513077980981 -1.457578238824564e-07
Mars 1.8992341499999997e+20 1.299087161789266 -0.4685130223059669 -0.04173301210362789 0.005263021286066707 0.01436613225253063 0.0001718166017509198
Jupiter 5.6165666699999997e+23 1.202617027161715 4.925619326837461 -0.04744906732614546 -0.007422080152557387 0.002150519136364722 0.0001571753243921759
Saturn 1.681655921e+23 -7.995797916881878 -5.654979590912853 0.4165389609847326 0.002918979116731655 -0.004568736017685006 -3.640669946773248e-05
Uranus 2.568716777e+22 19.87272800273064 2.682391370572605 -0.2474960609069437 -0.0005548381365011426 0.003714412141670646 2.103846759916208e-05
Neptune 3.0303118999999998e+22 26.60254550177145 -13.84161539996893 -0.3280331611448655 0.001427621713015805 0.002803145558175175 -9.046731266470764e-05
Pluto 3.8881259999999995e+18 5.202549764925174 -31.90167208432146 1.908781602141982 0.003160357667985754 -0.0001275035612896276 -0.0009130498589786468
